timestamp_utc,epoch,server_query_ms,server_solver_ms,server_total_ms,es_query_ms,es_solver_ms,es_total_ms,solver_task_count,solver_node_count,query_node_count,all_nodes_count,all_tasks_count
2026-02-12T22:54:26.830388+00:00,1,12.2248,41770.5432,41782.7680,948.0407,41713.1998,42661.2405,62,0,0,30,62
2026-02-12T22:58:02.412644+00:00,2,13.0814,41863.2287,41876.3102,941.9656,41954.3730,42896.3386,62,0,0,30,62
2026-02-12T23:01:38.751494+00:00,3,12.8918,41843.9331,41856.8249,955.0223,41986.3945,42941.4168,62,0,0,30,62
2026-02-12T23:05:19.003904+00:00,4,11.1275,41886.5714,41897.6989,948.8812,41794.1252,42743.0064,62,0,0,30,62
2026-02-12T23:08:56.057469+00:00,5,11.8331,41998.0556,42009.8887,1504.7771,41886.7920,43391.5692,62,0,0,30,62
2026-02-12T23:12:32.529005+00:00,6,10.9577,41905.4009,41916.3586,911.4554,41793.8484,42705.3038,62,0,0,30,62
2026-02-12T23:16:08.788749+00:00,7,19.0402,41795.5360,41814.5762,964.4387,41833.0926,42797.5313,62,0,0,30,62
2026-02-12T23:19:46.081464+00:00,8,10.1021,41737.9270,41748.0291,966.5939,41651.8293,42618.4232,62,0,0,30,62
2026-02-12T23:23:28.981108+00:00,9,10.7966,41857.9001,41868.6966,1089.2885,41811.7263,42901.0149,62,0,0,30,62
2026-02-12T23:27:10.312475+00:00,10,12.8053,41985.6653,41998.4705,1722.6400,41917.4370,43640.0769,62,0,0,30,62
